Urn,Label
urn:cite2:chron:aramini:evt1,eruption of vesuvius
urn:cite2:chron:aramini:evt2,occultation of Scorpii
urn:cite2:chron:jer_romans:ruler10,accession of Nerva
urn:cite2:chron:jer_romans:ruler8,accession of Titus
