URN,Label
urn:cite:chron:StudyofFirstOlymp:A,Fall of Troy,
urn:cite:chron:StudyofFirstOlymp:B,First Olympiad
urn:cite:chron:StudyofFirstOlymp:C,End of Peloponnesian War
urn:cite:chron:StudyofFirstOlymp:D,First year of reign of Eurystheus
