Urn,Label
urn:cite2:chron:plummer:evt1, Death of Julius Caesar
urn:cite2:chron:jer_alexandrians:ruler12, Accession of Cleopatra 
urn:cite2:chron:jer_romans:ruler1, Accession of Julius Caesar
urn:cite:chron:olympiadyear.182_3, Olympiad 182 year 3
urn:cite:chron:olympiadyear.183_1, Olympiad 183 year 1
urn:cite:chron:olympiadyear.184_2, Olympiad 184 year 2
