Ruler ID,Label
urn:cite2:chron:astroruler:1,Nabonasar
urn:cite2:chron:astroruler:2,Nadi
urn:cite2:chron:astroruler:3,Chinzer and of Por
urn:cite2:chron:astroruler:4,Ilulai
urn:cite2:chron:astroruler:5,Mardokempad
urn:cite2:chron:jer_persians:ruler4,Arkaian
urn:cite2:chron:astroruler:6,First interregnum
urn:cite2:chron:jer_persians:ruler2,Belib
urn:cite2:chron:jer_persians:ruler7,Aparanad
urn:cite2:chron:astroruler:7,Regebel
urn:cite2:chron:astroruler:8,Mesessemordak
urn:cite2:chron:astroruler:9,Second interregnum
urn:cite2:chron:astroruler:10,Asaridin
urn:cite2:chron:jer_persians:ruler1,Saosdouchin
urn:cite2:chron:jer_persians:ruler6,Kiniladan
urn:cite2:chron:astroruler:11,Nabopolasar
urn:cite2:chron:astroruler:12,Nabokolasar
urn:cite2:chron:astroruler:13,Illoaroudam
urn:cite2:chron:jer_persians:ruler9,Nerigasolassar
urn:cite2:chron:astroruler:14,Nabonadi
urn:cite2:chron:jer_persians:ruler1,Kyros
urn:cite2:chron:jer_persians:ruler2,Kambyses
urn:cite2:chron:jer_persians:ruler3,Dareios the First
urn:cite2:chron:jer_persians:ruler4,Xerxes
urn:cite2:chron:jer_persians:ruler5,Artaxerxes the First
urn:cite2:chron:jer_persians:ruler6,Dareios the Second
urn:cite2:chron:jer_persians:ruler7,Artaxerxes the Second
urn:cite2:chron:jer_persians:ruler8,Ochos
urn:cite2:chron:jer_persians:ruler9,Arogos
urn:cite2:chron:jer_persians:ruler10,Dareios the Third
urn:cite2:chron:jer_macedonians:ruler19,Alexandros the Macedonian
urn:cite2:chron:jer_macedonians:ruler20,Philip who was after Alexandros
urn:cite2:chron:jer_macedonians:ruler21,Alexandros the Second
urn:cite2:chron:jer_alexandrians:ruler1,Ptolemy son of Lagos
urn:cite2:chron:jer_alexandrians:ruler2,Ptolemy Philadelphos
urn:cite2:chron:jer_alexandrians:ruler3,Euergetes the First
urn:cite2:chron:jer_alexandrians:ruler4,Philopator
urn:cite2:chron:jer_alexandrians:ruler5,Epiphanes
urn:cite2:chron:jer_alexandrians:ruler6,Philometor
urn:cite2:chron:jer_alexandrians:ruler7,Euergetes the Second
urn:cite2:chron:jer_alexandrians:ruler8,Soter
urn:cite2:chron:jer_alexandrians:ruler11,The New Dionysos
urn:cite2:chron:jer_alexandrians:ruler12,Cleopatra
urn:cite2:chron:jer_romans:ruler2,Augustus
urn:cite2:chron:jer_romans:ruler3,Tiberius
urn:cite2:chron:jer_romans:ruler4,Gaius
urn:cite2:chron:jer_romans:ruler5,Claudius
urn:cite2:chron:jer_romans:ruler6,Nero
urn:cite2:chron:jer_romans:ruler7,Vespasian
urn:cite2:chron:jer_romans:ruler8,Titus
urn:cite2:chron:jer_romans:ruler9,Domitian
urn:cite2:chron:jer_romans:ruler10,Nerva
urn:cite2:chron:jer_romans:ruler11,Trajan
urn:cite2:chron:jer_romans:ruler12,Hadrian
urn:cite2:chron:jer_romans:ruler13,Aelius Antoninus
urn:cite2:chron:jer_romans:ruler14,Marcus
urn:cite2:chron:jer_romans:ruler17,Severus and Antoninus
urn:cite2:chron:jer_romans:ruler20,The young Antoninus
urn:cite2:chron:jer_romans:ruler21,Alexander and Mammaia
urn:cite2:chron:jer_romans:ruler22,Maximinus
urn:cite2:chron:jer_romans:ruler23,Gordian
urn:cite2:chron:jer_romans:ruler24,Philip
urn:cite2:chron:jer_romans:ruler25,Decius
urn:cite2:chron:jer_romans:ruler26,Gallus and Volusianus
urn:cite2:chron:jer_romans:ruler27,Valerian and Gallienus
urn:cite2:chron:jer_romans:ruler28,Claudius
urn:cite2:chron:jer_romans:ruler29,Aurelian
urn:cite2:chron:jer_romans:ruler31,Probus
urn:cite2:chron:jer_romans:ruler32,Carus and Carinus
urn:cite2:chron:jer_romans:ruler33,Diocletian and Constantius
urn:cite2:chron:jer_romans:ruler34,Constantine
urn:cite2:chron:jer_romans:ruler35,Constantine
urn:cite2:chron:jer_romans:ruler36,And the sons
urn:cite2:chron:jer_romans:ruler37,Julian
urn:cite2:chron:jer_romans:ruler38,Jovian
urn:cite2:chron:jer_romans:ruler39,Valentinian
urn:cite2:chron:jer_romans:ruler40,Valens and Gratian in Rome
urn:cite2:chron:jer_romans:ruler41,Theodosius in Byzantium
urn:cite2:chron:jer_romans:ruler42,Arcadius and Honorius
urn:cite2:chron:jer_romans:ruler43,Honorius and Theodosius
urn:cite2:chron:jer_romans:ruler44,The Little Theodosius
urn:cite2:chron:jer_romans:ruler45,Theodosius and Valentian in Rome
urn:cite2:chron:jer_romans:ruler46,Valentian and Marcian in Byzantium
urn:cite2:chron:jer_romans:ruler47,Marcian
urn:cite2:chron:jer_romans:ruler48,The great Leon
urn:cite2:chron:jer_romans:ruler49,Leon and Anthemios in Rome
urn:cite2:chron:jer_romans:ruler50,The Little Leon
urn:cite2:chron:jer_romans:ruler51,Zenon and his son
urn:cite2:chron:jer_romans:ruler52,Anastasius
urn:cite2:chron:jer_romans:ruler53,Justin
urn:cite2:chron:jer_romans:ruler54,Justinian
urn:cite2:chron:jer_romans:ruler55,Justin
urn:cite2:chron:jer_romans:ruler56,Tiberius  Constantine
urn:cite2:chron:jer_romans:ruler57,Maurice
urn:cite2:chron:jer_romans:ruler58,Phokas
