Urn,Label
urn:cite2:chron:epoch:ptol1, Epoch of Nabonassar in Ptolemy’s Cannon of Kings
urn:cite2:chron:jer_persians:ruler4, Accession of Xerxes
urn:cite2:chron:werab:evt1, Mardonius occupying Athens
urn:cite2:chron:werab:evt2, Time of Summer Solstice in 432 BCE
urn:cite2:chron:olympiadyear.75_1, Olympiad 75 year 1
urn:cite2:chron:archon:30, Archonship of Xanthippus
urn:cite2:chron:archon:15, Archonship of Crates
urn:cite2:chron:archon:72, Archonship of Apseudes
