Urn,Event
urn:cite2:chron:cowherd:evt1,Library of Alexandria Exists
urn:cite2:chron:cowherd:evt2,Library of Alexandria destroyed
urn:cite2:chron:cowherd:evt3,Accession of Cleopatra
urn:cite2:chron:cowherd:evt4,Death of Julius Caesar
urn:cite2:chron:cowherd:evt5,Tiberius Aids Sardis
urn:cite2:chron:cowherd:evt6,Tiberius in Power
